master_chemprop_input,IV
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4233|0.0777|0.2710|0.2280|,0.136
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4219|0.0786|0.2763|0.2232|,0.14400000000000002
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4217|0.0785|0.2776|0.2221|,0.159
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4229|0.0776|0.2783|0.2212|,0.166
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4236|0.0771|0.2899|0.2093|,0.155
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4227|0.0775|0.2886|0.2111|,0.147
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2918|0.2077|,0.154
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4190|0.0815|0.2930|0.2065|,0.159
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4204|0.0801|0.2978|0.2017|,0.256
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4247|0.0755|0.2976|0.2021|,0.307
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4235|0.0765|0.3030|0.1970|,0.38299999999999995
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4247|0.0755|0.3012|0.1986|,0.563
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4226|0.0781|0.3055|0.1938|,0.475
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.3018|0.1977|,0.41100000000000003
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4239|0.0766|0.3038|0.1957|,0.49700000000000005
